Aggregated sectors,total_Emission,scope1_Emission,scope2_Emission,scope3_Emission
Agriculture ,5485352.278660884,501177.45199510216,1678469.4947721972,3305705.3318935856
"Building, road and constructions",88841955.68158942,17202211.78688576,29176045.761472724,42463698.13323095
Chemical industries ,20338815.894412223,9927804.12907401,3969948.6482969993,6441063.117041215
Electronics ,20585479.003866076,8553580.68856543,5163502.747757386,6868395.567543263
Energy,90259038.91849115,45508508.895723805,20169832.916861665,24580697.10590569
Fisheries,915155.7828414408,284775.8450648255,251097.43565699353,379282.5021196217
"Food, beverage and food processing ",18323905.166949257,5543894.204405179,3964085.3124459763,8815925.6500981
Metal and heavy industries ,27253568.014352392,15974321.981944308,6557199.060317857,4722046.972090228
Mining ,7626851.6785809975,4552051.079182278,1277958.7164364685,1796841.8829622506
Others,71114404.54681307,35257652.52466911,14503050.29276666,21353701.7293773
Services ,113490864.05192485,50535725.54743,28164172.701555368,34790965.80293948
Textiles ,30064213.537291158,10346979.350390209,7898378.199227954,11818855.987672994
Transportation,23520901.191536352,4790221.89386799,8569422.984986095,10161256.312682267
Wood and forest products,15537151.35783191,7774468.324078755,2950147.354693039,4812535.679060117
