emissionScope1,emissionScope2,emissionScope3,totalEmission,Sector_CodeName,Aggregated sectors,Sector_Number
6187.041101575384,279648.7605648009,807048.3319488547,1092884.133615231,001/Paddy,Agriculture ,1
9783.909752467514,27328.233169543742,122900.66078079128,160012.80370280254,002/Corn,Agriculture ,2
2239.9305408476216,10828.816441145766,30020.367366358365,43089.11434835175,003/Sweet potato,Agriculture ,3
7638.295888634785,15995.993140255972,38299.47472829383,61933.76375718458,004/Cassava,Agriculture ,4
2079.079184629559,2023.5923601211323,4220.065321677634,8322.736866428326,005/Other tubers,Agriculture ,5
7815.870394579917,6882.896392894828,12846.408391034784,27545.17517850953,006/Peanuts,Agriculture ,6
4613.340307060954,11095.419625238475,21452.59820237698,37161.35813467641,007/Soybean,Agriculture ,7
906.8734620534084,18735.976152075626,37833.83424190325,57476.68385603228,008/Other nuts,Agriculture ,8
0.0,348.68705991948,583.7894628137713,932.4765227332512,009/Grains and other foodstuffs,Agriculture ,9
7590.501704896302,283795.1302561447,463366.8133641895,754752.4453252305,010/Vegetables,Agriculture ,10
23585.561598437776,19515.969200065934,26604.44783862007,69705.97863712379,011/Decorative plants,Agriculture ,11
8465.86006469906,18639.14678935566,35276.768041535266,62381.77489558999,012/Sugarcane,Agriculture ,12
20438.48675474845,50401.66917365953,79093.18073175671,149933.3366601647,013/Tobacco,Agriculture ,13
23339.22334528712,384.4171070632412,374.8727407889492,24098.513193139308,014/Fiber plant,Agriculture ,14
1676.9038072451217,24356.45964089328,42494.69707113056,68528.06051926897,015/Other plantations,Agriculture ,15
26501.02613706717,255846.48274779716,313495.41779818,595842.9266830443,016/Fruits,Agriculture ,16
6071.44504247206,11785.678786377275,18559.783152424643,36416.906981273976,017/Biopharmaceutical plants,Agriculture ,17
1609.4040791688317,133871.86837181236,222949.161295751,358430.4337467322,018/Rubber,Agriculture ,18
85744.7795342833,30404.56155547038,54802.17060399988,170951.51169375356,019/Coconut,Agriculture ,19
13399.469369453018,296732.5041980482,683921.8605308388,994053.83409834,020/Palm oil,Agriculture ,20
693.9574406880514,20221.42709456222,73014.90073124557,93930.28526649583,021/Coffee,Agriculture ,21
21511.445172284693,4802.687535928179,8694.57549974207,35008.708207954944,022/Tea,Agriculture ,22
492.8779345452966,49568.251764791086,81597.44017144489,131658.56987078127,023/Cocoa,Agriculture ,23
1025.3397474777971,28099.62463682481,52001.52952577529,81126.4939100779,024/Clove,Agriculture ,24
8828.432769003126,2426.994504160985,3697.829400649736,14953.256673813848,025/Cashew,Agriculture ,25
23453.548892245748,60209.09857347501,137049.0384760467,220711.68594176747,026/Livestock and their products (except fresh milk),"Food, beverage and food processing ",26
4354.829852607569,15385.853686042028,36124.87960963143,55865.56314828103,027/Fresh milk,"Food, beverage and food processing ",27
31688.826510039104,222709.9473086069,499889.0764544968,754287.8502731428,028/Poultry and their products ,"Food, beverage and food processing ",28
21913.80003938743,6389.510199853794,13907.770198398515,42211.08043763974,029/Other animal care products,"Food, beverage and food processing ",29
29644.31826114558,72547.05360197736,65535.603348473145,167726.9752115961,"030/Agriculture, forestry and fisheries services",Services ,30
74518.72372819105,46176.7592168088,129135.73673567662,249831.21968067647,031/Wood,Wood and forest products,31
54177.54639973135,16483.138709506064,50853.71216739621,121514.39727663362,032/Other forest products,Wood and forest products,32
60500.99157028135,200070.94372605413,304334.3772011764,564906.3124975119,033/Fish,Fisheries,33
87555.73023566921,31658.593490804597,49213.25995994535,168427.58368641915,034/Shrimp and other crustaceans,Fisheries,34
54223.76423192288,6009.653229672955,10694.016102976972,70927.43356457281,035/Other aquatic biota,Fisheries,35
82495.35902695202,13358.24521046184,15040.848855523029,110894.45309293688,036/Seaweeds,Fisheries,36
1750755.8239667255,1877572.090398095,2168650.388407317,5796978.302772137,037/Coal and lignite,Energy,37
596909.1548259729,639160.5806508834,602752.7921867042,1838822.5276635604,038/Crude oil,Energy,38
569831.3510826735,510796.2080372393,637419.4358598057,1718046.9949797185,039/Natural gas and geothermal,Energy,39
108784.52206093718,2446.841016038503,4800.971065918653,116032.33414289434,040/Iron sand and iron ore,Mining ,40
224402.9921765006,33287.36381258777,41069.24045103372,298759.5964401221,041/Tin ore ,Mining ,41
96657.7707685342,3354.314237825145,3132.26312641862,103144.34813277796,042/Bauxite ore,Mining ,42
