emissionScope1,emissionScope2,emissionScope3,totalEmission
6187.041101575384,279648.7605648009,807048.3319488547,1092884.133615231
9783.909752467514,27328.233169543746,122900.66078079128,160012.80370280254
2239.9305408476216,10828.816441145766,30020.367366358365,43089.11434835175
7638.295888634785,15995.993140255972,38299.474728293826,61933.763757184584
2079.079184629559,2023.5923601211325,4220.065321677634,8322.736866428326
7815.870394579917,6882.896392894828,12846.408391034784,27545.17517850953
4613.340307060954,11095.419625238477,21452.59820237698,37161.35813467641
906.8734620534083,18735.976152075622,37833.83424190325,57476.68385603228
0.0,348.68705991947996,583.7894628137713,932.4765227332513
7590.501704896302,283795.1302561447,463366.8133641895,754752.4453252305
23585.561598437776,19515.969200065938,26604.44783862007,69705.97863712379
8465.86006469906,18639.14678935566,35276.768041535266,62381.77489558999
20438.48675474845,50401.66917365953,79093.18073175671,149933.3366601647
23339.22334528712,384.4171070632412,374.87274078894916,24098.513193139308
1676.9038072451215,24356.45964089328,42494.69707113056,68528.06051926897
26501.02613706717,255846.48274779713,313495.41779818,595842.9266830443
6071.44504247206,11785.678786377275,18559.783152424643,36416.906981273976
1609.4040791688317,133871.86837181236,222949.161295751,358430.4337467322
85744.7795342833,30404.56155547038,54802.17060399988,170951.51169375356
13399.469369453018,296732.5041980482,683921.8605308388,994053.83409834
693.9574406880514,20221.42709456222,73014.90073124557,93930.28526649583
21511.445172284693,4802.687535928179,8694.57549974207,35008.708207954944
492.8779345452966,49568.251764791086,81597.44017144489,131658.56987078127
1025.3397474777971,28099.624636824814,52001.52952577529,81126.4939100779
8828.432769003126,2426.994504160985,3697.8294006497363,14953.256673813847
23453.548892245748,60209.098573475014,137049.0384760467,220711.68594176747
4354.829852607569,15385.853686042028,36124.87960963143,55865.56314828103
31688.826510039104,222709.9473086069,499889.0764544968,754287.8502731428
21913.80003938743,6389.510199853794,13907.770198398517,42211.08043763974
29644.31826114558,72547.05360197736,65535.603348473145,167726.9752115961
74518.72372819105,46176.7592168088,129135.73673567662,249831.21968067647
54177.54639973135,16483.138709506064,50853.71216739621,121514.39727663362
60500.991570281345,200070.94372605413,304334.37720117636,564906.3124975119
87555.73023566921,31658.593490804593,49213.25995994535,168427.58368641915
54223.76423192288,6009.653229672955,10694.016102976973,70927.43356457281
82495.35902695202,13358.24521046184,15040.848855523029,110894.45309293689
1750755.8239667255,1877572.090398095,2168650.388407317,5796978.302772137
596909.1548259729,639160.5806508834,602752.7921867042,1838822.5276635604
569831.3510826735,510796.2080372393,637419.4358598057,1718046.9949797185
108784.52206093718,2446.841016038503,4800.971065918653,116032.33414289434
224402.99217650061,33287.36381258777,41069.24045103372,298759.5964401221
96657.7707685342,3354.3142378251455,3132.2631264186202,103144.34813277797
459611.8740350063,165911.9229841017,211615.27840929793,837139.0754284059
459983.8345924707,40112.75418741791,56364.21192785172,556460.8007077404
471566.2475512354,31902.118868023594,25599.754397331853,529068.1208165908
728245.594907945,125767.30582988226,194156.0857426374,1048168.9864804647
213366.0372260542,6232.746836788924,9640.61615473195,229239.40021757508
263003.1106400538,639475.4772956355,971625.2714568763,1874103.8593925657
753522.9126031683,92212.83614057396,98732.00838727492,944467.7571310172
1193.9240616771062,370.53200363904955,469.30457306536914,2033.7606383815248
878442.8678839203,102087.53880994402,166414.8849773989,1146945.2916712633
771712.2585586954,136884.50322395418,179636.87726981216,1088233.6390524618
101359.62067850554,85242.37736154132,527353.1249522715,713955.1229923184
39209.88809979115,54877.710279237304,212754.4852933206,306842.08367234905
169363.97807952817,37117.92205817847,54799.362637455604,261281.26277516223
368713.323512768,120000.10207572827,194139.47249363363,682852.8980821299
211766.68695874134,49423.72545845075,98655.69256557908,359846.10498277115
85970.56482203578,162551.65441981592,1335971.996712378,1584494.2159542297
208938.39686149586,74728.2465032462,70554.35295140772,354220.9963161498
170127.13492477147,219298.50786783666,346186.55059861334,735612.1933912215
199539.78736311465,63380.53541082356,144212.7251842672,407133.0479582054
64213.40963220432,7988.266191850311,74339.16729355414,146540.84311760878
29392.387812587313,40991.71187865987,1030927.8516572347,1101311.951348482
64956.0028344253,290392.2487877804,249053.34370183735,604401.5953240431
1291694.6341548976,207613.22987616734,398334.55507818214,1897642.4191092472
317790.2614231571,198431.6072677516,170900.5983628063,687122.467053715
374979.2518344669,134403.8185913606,172978.1898991739,682361.2603250014
